step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
56,-0.1000,-0.1000,-9.8391,-0.1000,-0.1000,-0.1000,0.0786,-9.4231,-0.1000,-0.1000
57,-0.1000,0.0000,0.0830,-0.1000,-0.1000,-0.1000,0.0108,0.4268,-0.1000,-0.0949
58,-0.1000,-10.0000,0.1026,-0.1000,-0.1000,-0.1000,-0.0569,-9.6515,-0.1000,-0.0665
59,-0.1000,-0.1000,0.1224,-0.1000,-0.1000,-0.1000,-0.1000,0.1872,-0.1000,-0.0387
60,-0.1000,0.0000,0.1424,-0.1000,-0.0989,-0.1000,-0.1000,0.2270,-0.1000,-0.0114
61,-0.1000,-10.0000,0.1598,-0.1000,-0.0718,-0.1000,-0.1000,0.1677,-0.1000,0.0153
62,-0.1000,0.0000,0.1775,-0.1000,-0.0457,-0.1000,-0.1000,0.1095,-0.1000,0.0416
63,-0.1000,0.0000,0.1955,-0.1000,-0.0206,-0.1000,-0.1000,0.0523,-0.1000,0.0673
64,-0.1000,0.0000,0.2137,-0.1000,0.0034,-0.1000,-0.1000,0.0000,-0.1000,0.0924
65,-0.1000,0.0000,0.2323,-0.1000,0.0264,-0.1000,-0.1000,0.0000,-0.1000,0.1171
66,-0.0864,0.0000,0.2511,-0.1000,0.0483,-0.1000,-0.1000,0.0000,-0.1000,0.1412
67,-0.0581,0.0000,0.2675,-0.1000,0.0693,-0.1000,-0.1000,0.0000,-0.1000,0.1648
68,-0.0304,0.0000,0.2843,-0.1000,0.0893,-0.1000,-0.1000,0.0000,-0.1000,0.1879
69,-0.0031,0.0000,0.3037,-0.1000,0.1084,-0.1000,-0.1000,-10.0000,-0.1000,0.2104
70,0.0237,0.0000,0.3406,-0.1000,0.1265,-0.1000,-0.1000,-0.1000,-0.1000,0.2325
71,0.0500,0.0000,0.3786,-0.1000,0.1437,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
72,0.0759,0.0000,0.4176,-0.1000,0.1599,-0.1000,0.2101,-0.1000,-0.1000,-0.1000
73,0.1013,0.0000,0.4577,-0.1000,0.1752,-0.1000,0.1670,-0.1000,-0.1000,-0.1000
74,0.1262,0.0000,0.4990,-0.1000,0.1897,-0.1000,0.1238,-0.1000,-0.1000,-0.1000
75,0.1506,0.0000,0.5414,-0.1000,0.2032,-0.1000,0.0804,-0.1000,-0.1000,-0.1000
76,0.1745,0.0000,0.5850,-0.1000,0.2159,-0.1000,0.0369,-0.1000,-0.1000,-0.1000
77,0.1979,0.0000,0.6298,-0.1000,0.2278,-0.1000,-0.0067,-0.1000,-0.1000,-0.1000
78,0.2209,0.0000,0.6760,-0.1000,0.2388,-0.1000,-0.0503,-0.1000,-0.1000,-0.1000
79,0.2433,0.0000,0.9000,-0.1000,0.2489,-0.1000,-0.0940,-0.1000,-0.1000,-0.1000
80,0.2652,0.0000,0.9000,-0.1000,0.2583,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
81,0.2866,-10.0000,0.9000,-0.1000,0.2668,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
82,0.3188,-0.1000,0.9000,-0.1000,0.2746,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
83,0.3698,-0.1000,0.9000,-0.1000,0.2816,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
84,0.4195,-0.1000,0.6794,-0.1000,0.2879,-0.1000,-0.1000,-0.1000,-0.1000,-0.1000
85,0.4679,-0.1000,0.6368,-0.1000,0.2934,-0.1000,-0.1000,-0.1000,-0.1000,-0.0644
86,0.5149,-0.1000,0.5926,0.0000,0.2981,-0.1000,-0.1000,-0.1000,-0.1000,-0.0075
87,0.5607,-0.1000,0.5468,-10.0000,0.3054,-0.1000,-0.1000,-0.1000,-0.1000,0.0489
88,0.6051,-0.1000,0.4993,-0.1000,0.3138,-0.1000,-0.1000,-0.1000,-0.1000,0.1046
89,0.6482,-0.1000,0.4501,0.0000,0.3204,-0.1000,-0.1000,-0.1000,-0.1000,0.1598
90,0.6900,-0.1000,0.3991,-10.0000,0.3254,-0.1000,-0.1000,-0.1000,-0.1000,0.2143
91,0.9000,-0.1000,0.3463,0.0000,0.3286,-0.1000,-0.1000,-0.1000,-0.1000,0.2681
92,0.9000,-0.1000,0.2967,0.0000,0.3303,-0.1000,-0.1000,-0.1000,-0.1000,0.3531
93,0.9000,-0.1000,0.2741,0.0000,0.3304,-0.1000,-0.1000,-0.1000,-0.1000,0.4841
94,0.9000,0.0000,0.2507,0.0177,0.3289,-0.1000,-0.1000,-0.1000,-0.1000,0.5399
95,0.9000,0.0000,0.2376,0.0398,0.3259,-0.1000,-0.1000,-0.1000,-0.1000,0.5237
96,0.6875,0.0000,0.2346,0.0628,0.3215,-0.1000,-0.1000,-0.1000,-0.1000,0.5062
97,0.6552,0.0000,0.2418,0.0866,0.3156,-0.1000,-0.1000,-0.1000,-0.1000,0.4873
98,0.6242,0.0000,0.2565,0.1113,0.3083,-0.1000,-0.1000,-0.1000,-0.1000,0.4671
99,0.5946,-10.0000,0.2713,0.1369,0.2999,-0.1000,-0.1000,-0.1000,-0.1000,0.4453
100,0.5665,-0.1000,0.2853,0.1632,0.2959,-0.1000,-0.1000,-0.0934,-0.1000,0.4221
101,0.5399,-0.1000,0.2984,0.1903,0.2914,-0.1000,-0.1000,-0.0744,-0.1000,0.3973
102,0.5148,-0.1000,0.3267,0.2182,0.2864,-0.1000,-0.1000,-0.0555,-0.1000,0.3710
103,0.4914,-0.1000,0.3553,0.2468,0.2810,-0.1000,-0.1000,-0.0365,-0.1000,0.3430
104,0.4697,-0.1000,0.3818,0.2761,0.2751,-0.1000,-0.1000,-0.0176,-0.1000,0.3135
105,0.4498,-0.1000,0.4061,0.3062,0.2688,-0.1000,-0.1000,0.0012,-0.1000,0.2929
106,0.4316,-0.1000,0.4283,0.3369,0.2620,-0.1000,-0.1000,0.0199,-0.1000,0.2798
107,0.4152,-0.1000,0.4484,0.3682,0.2549,-0.1000,-0.1000,0.0386,-0.1000,0.2659
108,0.4007,-0.1000,0.4663,0.5003,0.2474,-0.1000,-0.1000,0.0571,-0.1000,0.2514
109,0.3882,-0.1000,0.4821,0.5817,0.2395,-0.1000,-0.1000,0.0755,-0.1000,0.2363
110,0.3776,-0.1000,0.4957,0.6645,0.2313,-0.1000,-0.1000,0.0938,-0.1000,0.2205
111,0.3690,-0.1000,0.5072,0.6403,0.2228,-0.1000,-0.1000,0.1119,-0.1000,0.2041
112,0.3624,-0.1000,0.5164,0.7090,0.2140,-0.1000,-0.1000,0.1298,-0.1000,0.1871
113,0.3579,-0.0859,0.5235,0.7707,0.2049,-0.1000,-0.1000,0.1476,-0.1000,0.1695
114,0.3555,-0.0695,0.5285,1.0000,0.1956,-0.1000,-0.1000,0.1652,-0.1000,0.1514
115,0.3553,-0.0561,0.5312,1.0000,0.1861,-0.1000,-0.1000,0.1826,-0.1000,0.1327
116,0.3572,-0.0459,0.5317,1.0000,0.1764,-0.1000,-0.1000,0.1998,-0.0898,0.1135
117,0.3612,-0.0388,0.5301,1.0000,0.1666,-0.1000,-0.1000,0.2168,-0.0476,0.0937
118,0.3675,-0.0348,0.5263,1.0000,0.1566,-0.1000,-0.1000,0.2335,-0.0059,0.0735
119,0.3759,-0.0338,0.5203,1.1000,0.1465,-0.1000,-0.1000,0.2501,0.0353,0.0528
120,0.3866,-0.0326,0.5121,0.8757,0.1363,-0.1000,-0.1000,0.2664,0.0761,0.0316
121,0.3995,-0.0311,0.5017,0.8476,0.1261,-0.1000,-0.1000,0.2825,0.1163,0.0099
122,0.4146,-0.0293,0.4891,0.7271,0.1158,-0.1000,-0.1000,0.2983,0.1560,-0.0121
123,0.4319,-0.0306,0.5743,0.8059,0.1056,-0.1000,-0.1000,0.3347,0.1951,-0.0346
124,0.4515,-0.0315,0.4574,0.6923,0.0954,-0.1000,-0.1000,0.3730,0.2336,-0.0575
125,0.4733,-0.0355,0.4382,0.6865,0.0855,-0.1000,-0.1000,0.4107,0.2715,-0.0807
126,0.4965,-0.0424,0.4168,-9.3116,0.0761,-0.1000,-0.1000,0.4478,0.3220,-0.1000
127,0.5213,-0.0524,0.3932,0.6898,0.0670,-0.1000,-0.1000,0.4842,0.4135,-0.1000
128,0.5477,-0.0621,0.3674,0.5907,0.0583,-0.1000,-0.1000,0.5200,0.5034,-0.1000
129,0.5756,-0.0714,0.3394,0.5912,0.0500,-0.1000,-0.1000,0.5551,0.5916,-0.1000
130,0.6052,-0.0803,0.3093,0.5913,0.0422,-0.1000,-0.1000,0.5896,0.6779,-0.1000
131,0.6364,-0.0889,0.2907,0.5910,0.0348,-0.1000,-0.1000,0.6235,0.9000,-0.1000
132,0.6693,-0.0971,0.2769,0.5904,0.0278,-0.1000,-0.1000,0.6567,0.9000,-0.1000
133,0.9000,-0.1000,0.2622,0.5896,0.0212,-0.1000,-0.1000,0.6892,0.6742,-0.1000
134,0.9000,-0.1000,0.2466,0.5886,0.0151,-0.1000,-0.1000,0.9000,0.5955,-0.1000
135,0.9000,-0.1000,0.2301,0.5874,0.0095,-0.1000,-0.1000,0.9000,0.5188,-0.1000
136,0.9000,-0.1000,0.2128,0.5861,0.0044,-0.1000,-0.1000,0.9000,0.4441,-0.1000
137,0.9000,-0.1000,0.1946,0.5847,-0.0003,-0.1000,-0.1000,0.9000,0.3716,-0.1000
138,0.6963,-0.1000,0.1755,0.5832,-0.0044,-0.1000,-0.1000,0.9000,0.3012,-0.1000
139,0.6509,-0.1000,0.1555,0.5818,-0.0081,-0.1000,-0.1000,0.9000,0.2732,-0.1000
140,0.6037,-0.1000,0.1347,0.5804,-0.0112,-0.1000,-0.1000,0.9000,0.2468,-0.1000
141,0.5546,-0.1000,0.1130,0.5790,-0.0137,-0.1000,-0.1000,0.6726,0.2213,-0.1000
142,0.5039,-0.1000,0.0905,0.5778,-0.0156,-0.1000,-0.1000,0.6455,0.1967,-0.1000
143,0.4514,-0.1000,0.0670,0.5766,-0.0169,-0.1000,-0.1000,0.6190,0.1731,-0.1000
144,0.3973,-0.1000,0.0428,0.5757,-0.0175,-0.1000,-0.1000,0.5930,0.1504,-0.1000
