step,sat0_reward,sat1_reward,sat2_reward,sat3_reward,sat4_reward,sat5_reward,sat6_reward,sat7_reward,sat8_reward,sat9_reward
60,0.1154,0.0500,0.0500,0.5594,0.0500,0.5834,0.0500,0.3500,-0.1000,0.0500
61,0.1055,0.0500,0.0500,0.5541,0.0500,0.4439,0.0500,0.0500,-0.1000,0.0500
62,0.0962,0.0500,0.0500,0.4495,0.0500,0.4238,0.0500,0.0500,-0.1000,0.0500
63,0.0876,0.0500,0.0500,0.4472,0.0500,0.4030,0.0500,0.0500,-0.1000,0.0500
64,0.0797,0.0500,0.0500,0.4450,0.0500,0.3814,0.0500,0.0500,-0.1000,0.0500
65,0.0725,0.0500,0.0500,0.4427,0.0500,0.3592,0.0500,0.0500,-0.1000,0.0500
66,0.0662,0.0500,0.0500,0.4403,0.0500,0.3364,0.0500,0.0500,-0.1000,0.0500
67,0.0606,0.0500,0.0500,0.4379,0.0500,0.3128,0.0500,0.0500,-0.1000,0.0500
68,0.0559,0.0500,0.0500,0.4354,0.0500,0.2886,0.0500,0.0500,-0.1000,0.0500
69,0.0520,0.0500,0.0500,0.4329,0.0500,0.2638,0.0500,0.0500,-0.1000,0.0500
70,0.0500,0.0500,0.0500,0.4303,0.0500,0.2384,0.0500,0.0500,-0.1000,0.0500
71,0.0500,0.0500,0.0500,0.4276,0.0500,0.2123,0.0500,0.0500,-0.1000,0.0500
72,0.0500,0.0500,0.0500,0.4247,0.0500,0.1857,0.0500,0.0500,-0.1000,0.0500
73,0.0500,0.0500,0.0500,0.4218,0.0500,0.1585,0.0500,0.0500,-0.1000,0.0500
74,0.0000,0.0000,0.0500,0.4188,0.0500,0.1308,0.0000,0.0500,-0.1000,0.0500
75,0.0000,0.0000,0.0000,0.3657,0.0000,0.0525,0.0000,0.0000,-0.1000,0.0500
76,0.0007,0.0000,0.0000,0.3625,0.0000,0.0237,0.0000,0.0000,-0.1000,0.0500
77,0.0044,0.0000,0.0000,0.3591,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
78,0.0092,0.0000,0.0000,0.3556,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
79,0.0150,0.0000,0.0000,0.3520,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
80,0.0218,0.0000,0.0000,0.3482,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
81,0.0297,0.0000,0.0000,0.3442,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
82,0.0386,0.0000,0.0000,0.3401,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
83,0.0557,0.0000,0.0000,0.3358,0.0000,0.0000,0.3000,0.0000,-0.1000,0.0500
84,0.0879,0.2879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
85,0.1207,0.2342,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1000,0.0500
