step,sat1_position,sat2_position,debris_positions
1,194.50831142093784,264.53381742825997,""
2,196.3434853170737,266.4605450838367,""
3,198.17865921320953,268.3872727394134,""
4,200.01383310934537,270.36699144699924,""
5,201.8490070054812,272.3467101545851,""
6,203.68418090161705,274.3264288621709,""
7,205.5193547977529,276.3061475697568,""
8,207.35452869388874,278.2858662773426,""
9,209.18970259002458,280.26558498492847,""
10,211.02487648616042,282.2453036925143,""
11,212.86005038229627,284.22502240010016,""
12,214.6952242784321,286.204741107686,""
13,216.53039817456795,288.18445981527185,""
14,218.3655720707038,290.1641785228577,""
15,220.20074596683963,292.14389723044354,""
16,222.03591986297548,294.1236159380294,""
17,223.87109375911132,296.10333464561523,""
18,225.70626765524716,298.0830533532011,""
19,227.541441551383,300.0627720607869,""
20,229.37661544751884,302.0424907683728,""
21,231.2117893436547,304.0222094759586,""
22,233.04696323979053,306.00192818354446,""
23,234.88213713592637,307.9816468911303,""
24,236.7173110320622,309.96136559871616,""
25,238.55248492819806,311.941084306302,"224"
26,240.3876588243339,313.92080301388785,"223"
27,242.22283272046974,315.9005217214737,"222"
28,244.05800661660558,317.88024042905954,"221"
29,245.89318051274142,319.8599591366454,"220"
30,247.72835440887727,321.83967784423123,"219"
31,249.5635283050131,323.8193965518171,"218"
32,251.39870220114895,325.7991152594029,"217"
33,253.2338760972848,327.77883396698877,"216"
34,255.06904999342063,329.7585526745746,"215"
35,256.9042238895565,331.73827138216046,"214"
36,258.73939778569235,333.7179900897463,"213"
37,260.5745716818282,335.69770879733215,""
38,262.4097455779641,337.677427504918,""
39,264.24491947409996,339.65714621250385,""
40,266.08009337023583,341.6368649200897,""
41,267.9152672663717,343.61658362767554,""
42,269.75044116250757,345.5963023352614,""
43,271.58561505864344,347.57602104284723,""
44,273.4207889547793,349.5557397504331,""
45,275.2559628509152,351.5354584580189,""
46,277.09113674705105,353.51517716560477,""
47,278.9263106431869,355.4948958731906,""
48,280.7614845393228,357.47461458077646,""
49,282.59665843545866,359.4543332883623,""
50,284.43183233159453,1.4340519959481526,""
51,286.2670062277304,3.413770703533984,""
52,288.1021801238663,5.393489411119815,""
53,289.93735402000215,7.373208118705646,""
54,291.772527916138,9.352926826291478,""
55,293.6077018122739,11.33264553387731,""
56,295.44287570840976,13.312364241463142,""
57,297.27804960454563,15.292082949048973,""
58,299.1132235006815,17.271801656634803,""
59,300.94839739681737,19.251520364220635,""
60,302.78357129295324,21.231239071806467,""
61,304.6187451890891,23.2109577793923,""
62,306.453919085225,25.19067648697813,""
63,308.28909298136085,27.170395194563962,""
64,310.1242668774967,29.150113902149794,""
65,311.9594407736326,31.129832609735626,""
66,313.79461466976846,33.109551317321454,""
67,315.62978856590433,35.089270024907286,""
68,317.4649624620402,37.06898873249312,"284"
69,319.3001363581761,39.04870744007895,"285"
70,321.13531025431195,41.02842614766478,"286"
71,322.9704841504478,43.00814485525061,""
72,324.8056580465837,44.987863562836445,""
73,326.64083194271956,46.96758227042228,""
74,328.47600583885543,48.94730097800811,""
75,330.3111797349913,50.92701968559394,""
76,332.14635363112717,52.90673839317977,""
77,333.98152752726304,54.886457100765604,""
78,335.8167014233989,56.866175808351436,""
79,337.6789144005657,58.84589451593727,""
80,339.5411273777325,60.8256132235231,""
81,341.4033403548993,62.80533193110893,"331"
82,343.2655533320661,64.78505063869476,"332,155"
83,345.12776630923287,66.76476934628059,"333,156"
84,346.98997928639966,68.74448805386642,"334,157"
85,348.85219226356645,70.72420676145225,"335,158"
86,350.71440524073324,72.70392546903808,"336,159"
87,352.7404403243275,74.68364417662391,"160"
88,354.76647540792175,76.66336288420975,"161"
89,356.792510491516,78.64308159179558,"162"
90,358.81854557511025,80.62280029938141,"163"
91,0.8445806587045013,82.60251900696724,"164"
92,2.8706157422987655,84.58223771455307,"165"
93,4.89665082589303,86.5619564221389,"166"
94,6.922685909487294,88.54167512972474,"167"
95,8.948720993081558,90.52139383731057,"168"
96,10.974756076675822,92.5011125448964,"169"
97,13.000791160270087,94.48083125248223,"170"
98,15.02682624386435,96.46054996006806,""
99,17.052861327458615,98.4402686676539,""
100,19.07889641105288,100.41998737523973,""
101,21.104931494647147,102.39970608282556,""
102,23.130966578241413,104.37942479041139,""
103,25.15700166183568,106.35914349799722,""
104,27.183036745429945,108.33886220558306,""
105,29.20907182902421,110.31858091316889,""
106,31.235106912618477,112.29829962075472,""
107,33.26114199621274,114.27801832834055,""
108,35.28717707980701,116.25773703592638,""
109,37.313212163401275,118.23745574351221,""
110,39.33924724699554,120.21717445109805,""
111,41.36528233058981,122.19689315868388,"301"
112,43.39131741418407,124.17661186626971,"300"
113,45.41735249777834,126.15633057385554,"299"
114,47.443387581372605,128.13604928144136,"298"
115,49.46942266496687,130.11576798902718,"297"
116,51.49545774856114,132.095486696613,"296"
117,53.5214928321554,134.0752054041988,"295"
118,55.54752791574967,136.05492411178463,"294"
119,57.573562999343935,138.03464281937045,""
120,59.5995980829382,140.01436152695626,""
121,61.62563316653247,141.99408023454208,""
122,63.65166825012673,143.9737989421279,""
123,65.677703333721,145.95351764971372,""
124,67.70373841731526,147.93323635729953,""
125,69.72977350090953,149.91295506488535,""
126,71.7558085845038,151.89267377247117,""
127,73.78184366809806,153.872392480057,""
128,75.7427628056908,155.8521111876428,""
129,77.70368194328353,157.83182989522862,""
130,79.66460108087625,159.81154860281444,""
131,81.62552021846898,161.79126731040026,""
132,83.5864393560617,163.77098601798608,""
133,85.54735849365443,165.7507047255719,""
134,87.50827763124715,167.7304234331577,""
135,89.46919676883988,169.71014214074353,""
136,91.4301159064326,171.68986084832935,""
137,93.39103504402533,173.66957955591516,""
138,95.35195418161805,175.64929826350098,""
139,97.31287331921078,177.6290169710868,"239"
140,99.2737924568035,179.60873567867262,"240"
141,101.23471159439623,181.58845438625843,"241"
142,103.19563073198896,183.56817309384425,"242"
143,105.15654986958168,185.54789180143007,"243"
144,107.1174690071744,187.5276105090159,"244"
145,109.07838814476713,189.5073292166017,"245"
146,111.03930728235986,191.48704792418752,""
147,113.00022641995258,193.46676663177334,""
148,114.96114555754531,195.44648533935916,""
149,116.92206469513803,197.42620404694497,"39"
150,118.88298383273076,199.4059227545308,"38"
151,120.84390297032348,201.3856414621166,""
152,122.80482210791621,203.36536016970243,""
153,124.76574124550893,205.34507887728824,""
154,126.72666038310166,207.32479758487406,""
155,128.68757952069438,209.30451629245988,""
156,130.6484986582871,211.2842350000457,""
157,132.60941779587984,213.26395370763152,""
158,134.57033693347256,215.24367241521733,""
159,136.5312560710653,217.22339112280315,""
160,138.492175208658,219.20310983038897,""
161,140.45309434625074,221.18282853797479,""
162,142.41401348384346,223.1625472455606,""
163,144.3466561752218,225.14226595314642,""
164,146.27929886660013,227.12198466073224,""
165,148.2508670903465,229.10170336831806,""
166,150.22243531409288,231.08142207590387,""
167,152.19400353783925,233.0611407834897,""
168,154.16557176158562,235.0408594910755,""
169,156.137139985332,237.02057819866133,""
170,158.10870820907837,239.00029690624714,""
171,160.08027643282475,240.98001561383296,""
172,162.05184465657112,242.95973432141878,""
173,164.0234128803175,244.9394530290046,""
174,165.99498110406387,246.9191717365904,""
175,167.96654932781024,248.89889044417623,""
176,169.93811755155662,250.87860915176205,""
177,171.909685775303,252.85832785934787,""
178,173.88125399904936,254.83804656693368,""
179,175.85282222279574,256.8177652745195,""
180,177.8243904465421,258.79748398210535,""
181,179.79595867028848,260.7772026896912,""
182,181.76752689403486,262.99811657075327,""
183,183.73909511778123,265.21903045181534,""
184,185.7106633415276,267.4399443328774,""
185,187.68223156527398,269.6608582139395,""
186,189.65379978902035,271.88177209500157,""
187,191.62536801276673,274.10268597606364,""
188,193.5969362365131,276.3235998571257,"96"
189,195.56850446025948,278.5445137381878,"97"
190,197.54007268400585,280.76542761924986,"98"
191,199.51164090775222,282.98634150031194,"99"
192,201.4832091314986,285.207255381374,"100"
193,203.45477735524497,287.4281692624361,"101"
194,205.42634557899135,289.64908314349816,""
195,207.39791380273772,291.86999702456023,""
196,209.3694820264841,294.0909109056223,""
197,211.34105025023047,296.3118247866844,""
198,213.31261847397684,298.53273866774646,""
199,215.28418669772321,300.75365254880853,""
200,217.2557549214696,302.9745664298706,""
201,219.22732314521596,305.1954803109327,""
202,221.19889136896234,307.41639419199475,""
203,223.1704595927087,309.63730807305683,""
204,225.14202781645508,311.8582219541189,""
205,227.11359604020146,314.079135835181,""
206,229.08516426394783,316.30004971624305,""
207,231.0567324876942,318.5209635973051,""
208,233.02830071144058,320.7418774783672,""
209,234.99986893518695,322.9627913594293,""
210,236.97143715893333,325.18370524049135,""
211,238.9430053826797,327.4046191215534,""
212,240.91457360642607,329.6255330026155,""
213,242.88614183017245,331.8464468836776,""
214,244.85771005391882,334.06736076473965,""
215,246.8989879260921,336.2882746458017,""
216,248.9402657982654,338.5091885268638,""
217,250.98154367043867,340.73010240792587,""
218,253.1084465446102,342.95101628898794,"271"
219,255.2353494187817,345.17193017005,"270"
220,257.36225229295326,347.3928440511121,"269,87"
221,259.4891551671248,349.61375793217417,"268,88"
222,261.61605804129636,351.83467181323624,"89"
223,263.7429609154679,354.0555856942983,"90"
224,265.79194222448444,356.2764995753604,"91"
225,267.840923533501,358.49741345642246,"92"
226,269.8899048425175,0.7183273374845385,"93"
227,271.93888615153406,2.9392412185465933,"94"
228,273.9878674605506,5.160155099608648,"95"
229,276.03684876956714,7.381068980670703,"96"
230,278.0858300785837,9.601982861732758,"97"
231,280.1348113876002,11.822896742794812,"98"
232,282.18379269661676,14.043810623856867,""
233,284.2327740056333,16.264724504918924,""
234,286.28175531464984,18.485638385980977,""
235,288.3307366236664,20.70655226704303,""
236,290.3797179326829,22.927466148105083,""
237,292.42869924169946,25.148380029167136,""
238,294.477680550716,27.36929391022919,"239"
239,296.5204794129164,29.590207791291242,"238"
240,298.56327827511683,31.811121672353295,"237"
241,300.60607713731724,34.03203555341535,""
242,302.64887599951766,36.2529494344774,""
243,304.69167486171807,38.473863315539454,""
244,306.7344737239185,40.69477719660151,""
245,308.7772725861189,42.91569107766356,""
246,310.58397489894514,45.13660495872561,""
247,312.3906772117714,47.357518839787666,""
248,314.19737952459764,49.57843272084972,""
249,316.0040818374239,51.79934660191177,""
250,317.81078415025013,54.020260482973825,""
251,319.6174864630764,56.24117436403588,""
252,321.4241887759026,58.46208824509793,""
253,323.23089108872887,60.683002126159984,""
254,325.0375934015551,62.90391600722204,""
255,326.84429571438136,65.1248298882841,""
256,328.6509980272076,67.34574376934616,""
257,330.45770034003385,69.56665765040822,""
258,332.2644026528601,71.78757153147028,""
259,334.07110496568635,74.00848541253234,""
260,335.8778072785126,76.2293992935944,""
261,337.68450959133884,78.45031317465646,""
262,339.4912119041651,80.67122705571852,""
263,341.29791421699133,82.89214093678058,""
264,343.1046165298176,85.11305481784264,""
265,344.9113188426438,87.3339686989047,""
266,346.71802115547007,89.55488257996676,""
267,348.5247234682963,91.77579646102882,"240"
268,350.33142578112256,93.99671034209088,"239"
269,352.1381280939488,96.21762422315294,"238"
270,353.94483040677505,98.438538104215,"237"
271,355.7515327196013,100.65945198527706,"236"
272,357.55823503242755,102.88036586633912,"235"
273,359.3649373452538,105.10127974740118,"234"
274,1.1716396580800392,107.32219362846324,"233"
275,2.9783419709062966,109.5431075095253,"232"
276,4.785044283732554,111.76402139058736,"231"
277,6.591746596558812,113.98493527164942,"230,75"
278,7.533233990308813,116.20584915271148,"229,76"
279,8.474721384058814,118.42676303377354,"228,77"
280,9.87539511422269,120.6476769148356,"227,78"
281,11.735255180800438,122.86859079589766,"226,79"
282,14.054301583792062,125.08950467695972,"225,80"
283,16.83253432319756,127.31041855802178,"224,81"
284,19.751145243822563,129.53133243908383,"223,82"
285,22.669756164447566,131.75224632014587,"222,83"
286,25.58836708507257,133.97316020120792,"221,84"
287,28.506978005697572,136.19407408226996,"220,85"
288,31.425588926322575,138.414987963332,"219,86"
289,34.344199846947575,140.63590184439406,"218,87"
290,35.54086200602055,142.8568157254561,"217,88"
291,36.48234939977055,145.07772960651815,"216,89"
292,37.42383679352055,147.2986434875802,"215,90"
293,38.824510523684424,149.51955736864224,"214,91"
294,40.684370590262176,151.74047124970429,"213,92"
295,43.0034169932538,153.96138513076633,"212,93"
296,45.7816497326593,156.18229901182838,"211,94"
297,48.700260653284296,158.40321289289042,"210,95"
298,51.618871573909296,160.62412677395247,"209,96"
299,54.537482494534295,162.84504065501451,"208,97"
300,57.456093415159295,165.06595453607656,"207,98,116"
301,60.374704335784294,167.5038043085255,"206,99,115"
302,63.293315256409294,169.94165408097444,"205,100,114"
303,66.2119261770343,172.3795038534234,"204,101,113"
304,69.1305370976593,174.81735362587233,"203,102,112"
305,72.0491480182843,177.25520339832127,"202,103,111"
306,74.9677589389093,179.6930531707702,"201,104,110"
307,77.42718352312042,182.13090294321916,"200,105,109"
308,79.42742177091768,184.5687527156681,"106,108"
309,81.42766001871493,187.00660248811704,"107,107"
310,83.42789826651219,189.44445226056598,"106"
311,85.42813651430944,191.88230203301492,"105"
312,87.4283747621067,194.32015180546387,"104"
313,89.42861300990396,196.7580015779128,"103"
314,91.42885125770121,199.19585135036175,"102"
315,93.42908950549847,201.6337011228107,"101"
316,95.42932775329572,204.07155089525963,"100"
317,97.42956600109298,206.50940066770858,"99,187"
318,99.42980424889024,208.5228993351496,"98,186"
319,101.43004249668749,210.11204689758267,"97,185"
320,103.43028074448475,211.27684335500783,"96,184"
321,105.430518992282,212.21332868000783,"95,183"
322,107.43075724007926,213.14981400500784,"94,182"
323,109.43099548787652,214.08629933000785,"93,181"
324,111.43123373567377,215.02278465500785,"92,180"
325,113.43147198347103,215.95926998000786,"91,179"
326,115.43171023126828,216.89575530500787,"90,178"
327,117.43194847906554,217.83224063000787,"89,177"
