scenario,baseline_t1,after_task2_t1,forgetting,task2_reward,weight_change_magnitude,cycles_to_t2_threshold
without_ewc,26.3742,31.8128,5.4386,42.3511,0.01420695,1
with_ewc_per,26.3742,19.3568,-7.0174,30.3578,0.00202831,1
