step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
144,0.5224,0.5224,62.0738,62.0738
145,0.5233,0.5233,62.5971,62.5971
146,0.5243,0.5243,63.1213,63.1213
147,0.5252,0.5252,63.6466,63.6466
148,0.5261,0.5261,64.1727,64.1727
149,0.5271,0.5271,64.6998,64.6998
150,0.5280,0.5280,65.2278,65.2278
151,0.5290,0.5290,65.7568,65.7568
152,0.5299,0.5299,66.2867,66.2867
153,0.5308,0.5308,66.8175,66.8175
154,0.5318,0.5318,67.3493,67.3493
155,0.5327,0.5327,67.8820,67.8820
156,0.5337,0.5337,68.4157,68.4157
157,0.5346,0.5346,68.9503,68.9503
158,0.5355,0.5355,69.4859,69.4859
159,0.5365,0.5365,70.0224,70.0224
160,0.5374,0.5374,70.5598,70.5598
161,0.5384,0.5384,71.0981,71.0981
162,0.5393,0.5393,71.6375,71.6375
163,0.5445,0.5445,72.1819,72.1819
164,0.5468,0.5468,72.7288,72.7288
165,0.5434,0.5434,73.2721,73.2721
166,0.5438,0.5438,73.8159,73.8159
167,0.5442,0.5442,74.3601,74.3601
168,0.5446,0.5446,74.9047,74.9047
169,0.5450,0.5450,75.4496,75.4496
170,0.5454,0.5454,75.9950,75.9950
171,0.5458,0.5458,76.5408,76.5408
172,0.5462,0.5462,77.0871,77.0871
173,0.5466,0.5466,77.6337,77.6337
174,0.5470,0.5470,78.1807,78.1807
175,0.5474,0.5474,78.7281,78.7281
176,0.5478,0.5478,79.2760,79.2760
177,0.5482,0.5482,79.8242,79.8242
178,0.5487,0.5487,80.3729,80.3729
179,0.5491,0.5491,80.9219,80.9219
180,0.5495,0.5495,81.4714,81.4714
181,0.5499,0.5499,82.0213,82.0213
182,0.5865,0.5865,82.6077,82.6077
183,0.5989,0.5989,83.2067,83.2067
184,0.6114,0.6114,83.8181,83.8181
185,0.6239,0.6239,84.4419,84.4419
186,0.6363,0.6363,85.0783,85.0783
187,0.6488,0.6488,85.7271,85.7271
188,0.6613,0.6613,86.3883,86.3883
189,0.6737,0.6737,87.0621,87.0621
190,0.6862,0.6862,87.7483,87.7483
191,0.6987,0.6987,88.4469,88.4469
192,0.7111,0.7111,89.1581,89.1581
193,0.7236,0.7236,89.8817,89.8817
194,0.7361,0.7361,90.6178,90.6178
195,0.7485,0.7485,91.3663,91.3663
196,0.7610,0.7610,92.1273,92.1273
197,0.7735,0.7735,92.9008,92.9008
198,0.7859,0.7859,93.6867,93.6867
199,0.7984,0.7984,94.4851,94.4851
200,0.8109,0.8109,95.2960,95.2960
201,0.8233,0.8233,96.1193,96.1193
202,0.8358,0.8358,96.9552,96.9552
203,0.8483,0.8483,97.8034,97.8034
204,0.8607,0.8607,98.6642,98.6642
205,0.8732,0.8732,99.5374,99.5374
206,0.8857,0.8857,100.4231,100.4231
207,0.8981,0.8981,101.3212,101.3212
208,0.9106,0.9106,102.2318,102.2318
209,0.9231,0.9231,103.1549,103.1549
210,1.1249,1.1249,104.2798,104.2798
211,1.1249,1.1249,105.4048,105.4048
212,1.1249,1.1249,106.5297,106.5297
213,1.1249,1.1249,107.6546,107.6546
214,1.1249,1.1249,108.7796,108.7796
215,1.1180,1.1180,109.8975,109.8975
216,1.1180,1.1180,111.0155,111.0155
217,1.1180,1.1180,112.1335,112.1335
218,1.1094,1.1094,113.2429,113.2429
219,1.1094,1.1094,114.3523,114.3523
220,1.1033,1.1033,115.4556,115.4556
221,1.0906,1.0906,116.5461,116.5461
222,1.0906,1.0906,117.6367,117.6367
223,1.0906,1.0906,118.7273,118.7273
224,1.0828,1.0828,119.8102,119.8102
225,1.0828,1.0828,120.8930,120.8930
226,1.0828,1.0828,121.9758,121.9758
227,1.0828,1.0828,123.0586,123.0586
228,1.0828,1.0828,124.1414,124.1414
229,1.0828,1.0828,125.2242,125.2242
230,1.0828,1.0828,126.3070,126.3070
