step,sat1_reward,sat2_reward,sat1_cumulative_reward,sat2_cumulative_reward
124,0.0324,0.0324,-1.0280,-0.4980
125,0.0324,0.0324,-0.9956,-0.4656
126,0.0324,0.0324,-0.9632,-0.4332
127,0.0281,0.0281,-0.9352,-0.4052
128,0.0281,0.0281,-0.9071,-0.3771
129,0.0281,0.0281,-0.8791,-0.3491
130,0.0281,0.0281,-0.8510,-0.3210
131,0.0281,0.0281,-0.8229,-0.2929
132,0.0281,0.0281,-0.7949,-0.2649
133,0.0281,0.0281,-0.7668,-0.2368
134,0.0246,0.0246,-0.7423,-0.2123
135,0.0225,0.0225,-0.7197,-0.1897
136,0.0225,0.0225,-0.6972,-0.1672
137,0.0225,0.0225,-0.6747,-0.1447
138,0.0423,0.0423,-0.6324,-0.1024
139,0.0674,0.0674,-0.5650,-0.0350
140,0.0924,0.0924,-0.4726,0.0574
141,0.1101,0.1101,-0.3625,0.1675
142,0.1312,0.1312,-0.2313,0.2987
143,0.1524,0.1524,-0.0789,0.4511
144,0.2336,0.2336,0.1547,0.6847
145,0.2547,0.2547,0.4094,0.9394
146,0.2759,0.2759,0.6853,1.2153
147,0.6420,0.6420,1.3273,1.8573
148,0.7161,0.7161,2.0434,2.5734
149,0.7902,0.7902,2.8336,3.3636
150,1.0790,1.0790,3.9126,4.4426
151,1.0743,1.0743,4.9869,5.5169
152,1.0410,1.0410,6.0279,6.5579
153,0.7336,0.7336,6.7615,7.2915
154,0.6530,0.6530,7.4145,7.9445
155,0.5738,0.5738,7.9883,8.5183
156,0.2268,0.2268,8.2151,8.7451
157,0.2041,0.2041,8.4192,8.9492
158,0.1815,0.1815,8.6007,9.1307
159,0.0989,0.0989,8.6996,9.2296
160,0.0762,0.0762,8.7758,9.3058
161,0.0536,0.0536,8.8294,9.3594
162,0.0310,0.0310,8.8604,9.3904
163,0.0083,0.0083,8.8687,9.3987
164,-0.0143,-0.0143,8.8544,9.3844
165,-0.0176,-0.0176,8.8368,9.3668
166,-0.0160,-0.0160,8.8208,9.3508
167,-0.0160,-0.0160,8.8048,9.3348
168,-0.0160,-0.0160,8.7888,9.3188
169,-0.0160,-0.0160,8.7728,9.3028
170,-0.0160,-0.0160,8.7568,9.2868
171,-0.0160,-0.0160,8.7408,9.2708
172,-0.0160,-0.0160,8.7248,9.2548
173,-0.0160,-0.0160,8.7087,9.2387
174,-0.0125,-0.0125,8.6963,9.2263
