step,sat1_position,sat2_position,debris_positions
1,139.90417531187165,186.94058406740152,""
2,141.2384988813712,189.8436885749015,""
3,142.96565862662035,192.7467930824015,""
4,143.90714602037036,195.64989758990149,""
5,145.24146958986992,198.55300209740147,""
6,146.96862933511906,201.45610660490146,"161"
7,149.88724025574408,204.35921111240145,"162"
8,151.33271551730817,207.14280116859806,"163"
9,154.2513264379332,210.04590567609804,"164"
10,155.69680169949729,212.94901018359803,"165"
11,157.53511313681096,215.85211469109802,"166"
12,159.76626074987422,218.755219198598,"167"
13,160.70774814362423,221.658323706098,"168"
14,162.0420717131238,224.561428213598,"169"
15,163.73045667011095,227.46453272109798,""
16,165.8116778028477,230.36763722859797,""
17,168.28573511133402,233.27074173609796,""
18,169.28665676075946,236.17384624359795,""
19,170.68041458593444,239.07695075109794,""
20,172.467008586859,241.98005525859793,""
21,174.5229188805807,244.88315976609792,""
22,177.03802904876196,247.7862642735979,""
23,179.9459753926928,250.6893687810979,""
24,181.3807860775627,253.5924732885979,""
25,183.2084329381822,256.4955777960979,""
26,185.42891597455127,259.3986823035979,""
27,188.04223518666993,262.30178681109794,""
28,190.96084610729494,265.20489131859796,""
29,193.87945702791995,268.107995826098,""
30,196.79806794854497,271.011100333598,""
31,199.71667886916998,273.914204841098,""
32,202.635289789795,276.81730934859803,""
33,205.55390071042,279.72041385609805,""
34,208.47251163104502,282.62351836359807,""
35,211.39112255167004,285.5266228710981,""
36,214.30973347229505,288.1913953784183,""
37,217.06242604116022,290.8561678857385,""
38,219.98103696178524,293.5209403930587,""
39,222.6835459375071,296.1857129003789,""
40,225.6021568581321,298.8504854076991,""
41,228.44211294436386,301.51525791501933,""
42,231.36072386498887,304.39974113377104,""
43,234.27933478561388,307.28422435252276,"178"
44,237.1979457062389,310.16870757127447,"177"
45,240.1165566268639,313.0531907900262,"176"
46,243.03516754748892,315.9376740087779,"175"
47,245.95377846811394,318.8221572275296,"174"
48,248.87238938873895,321.6643305307699,"173"
49,251.79100030936397,324.50650383401023,"172"
50,254.70961122998898,327.34867713725055,"171"
51,257.62822215061396,330.19085044049086,"170"
52,260.54683307123895,333.0330237437312,"169,268"
53,263.46544399186394,335.8751970469715,"168,269"
54,266.3840549124889,338.7173703502118,"167,270,54"
55,269.3026658331139,341.5595436534521,"166,271,53"
56,272.2212767537389,344.40171695669244,"272,52"
57,275.1398876743639,347.24389025993275,"273,51"
58,278.05849859498886,350.1469947674328,"274,50"
59,280.97710951561385,353.0500992749328,"275,49"
60,283.89572043623883,355.9532037824328,"276,48"
61,286.8143313568638,358.6719120621673,"277,47"
62,289.55068816026676,1.3906203419017515,"278,46"
63,292.46929908089174,4.109328621636244,"279,45"
64,295.38791000151673,6.828036901370737,"280,44"
65,298.3065209221417,9.66056331778993,"43"
66,301.2251318427667,12.493089734209121,"42"
67,303.9454659638393,15.325616150628314,"41"
68,306.6658000849119,18.158142567047506,"40"
69,309.3861342059845,21.06124707454751,"39"
70,312.1064683270571,23.964351582047513,"38"
71,314.8268024481297,26.867456089547517,"37,227"
72,317.5471365692023,29.77056059704752,"228"
73,320.2674706902749,32.673665104547524,"229,72"
74,323.18608161089986,35.57676961204753,"230,73"
75,326.10469253152485,38.47987411954753,"231,74"
76,329.02330345214983,41.382978627047535,"75"
77,331.9419143727748,44.28608313454754,"76"
78,334.8605252933998,47.18918764204754,"77"
79,337.7791362140248,50.092292149547546,"78"
80,340.6977471346498,52.99539665704755,"34"
81,343.61635805527476,55.898501164547554,"35"
82,346.53496897589974,58.80160567204756,"36"
83,349.45357989652473,61.70471017954756,"37"
84,352.3262018525541,64.60781468704756,"38"
85,355.1988238085835,67.510113305599,"39,326"
